ticker,fold,train_end_index,test_start_index,test_end_index,rmse_naive,mae_naive,rmse_garch,mae_garch,rmse_lstm,mae_lstm
BTC-USD,1,652,652,682,0.005983664202257471,0.0030744710840980823,0.01712181914631872,0.013831384974360622,0.009300228172860338,0.00692222074118355
BTC-USD,2,682,682,712,0.00398379961630807,0.0026705591990956513,0.011805112612805011,0.009751096602658382,0.004814758594228797,0.0034557855279538302
BTC-USD,3,712,712,742,0.005172806903482784,0.003173473558554199,0.009654420164590052,0.00811317072710905,0.006303927387468281,0.0048146402338353185
BTC-USD,4,742,742,772,0.0036279314552402388,0.0026322393331824753,0.013411333501126537,0.012147379515451912,0.004621360278441917,0.0037209423798117607
BTC-USD,5,772,772,802,0.007325345727162595,0.005334042108179161,0.013801798407481773,0.012263547036211206,0.01154945579092727,0.009261154753828542
BTC-USD,6,802,802,832,0.005406243897209903,0.003692540467062663,0.008803395949124989,0.006834832048387559,0.008312473982490473,0.006761889708141884
BTC-USD,7,832,832,862,0.004387930565211246,0.0029887144062409232,0.007917562315709925,0.006974285328676823,0.006311382457819142,0.00502345989622647
BTC-USD,8,862,862,892,0.0040785395781398545,0.0017694174055953782,0.014941470927200003,0.014168760084806909,0.005323373567962362,0.0031815572906851992
BTC-USD,9,892,892,922,0.004292848598230834,0.0028980134242579596,0.009205375533108762,0.007475307812249746,0.005159772863243206,0.004130167620609342
BTC-USD,10,922,922,952,0.008014139266093009,0.004134758970014393,0.015253218746461582,0.012085900624598491,0.00915649072585029,0.006011886157419896
BTC-USD,11,952,952,982,0.004191393262440675,0.0029075227911962635,0.0069048204089579525,0.006110144990921837,0.005733535048333953,0.004223994974814882
BTC-USD,12,982,982,1012,0.0035048966333639867,0.002584584327703881,0.011175046537374451,0.01009291450406301,0.004712127490287888,0.0037626675852737933
BTC-USD,13,1012,1012,1042,0.0051358004354591525,0.0028861838467303474,0.010475883827820378,0.009779877290097336,0.00636404076376454,0.004253828545634447
BTC-USD,14,1042,1042,1072,0.00489347200007593,0.002957694207084208,0.007684030219084522,0.006265890418838855,0.005611767513437962,0.004440898226689809
ETH-USD,1,652,652,682,0.007126725575329369,0.0034790160708889684,0.012369761823599949,0.00976924323980107,0.009547979804171706,0.006939346883513987
ETH-USD,2,682,682,712,0.004794293579117735,0.003184872339628188,0.010147071113540403,0.007731112582599549,0.006806286985178335,0.00521025516245396
ETH-USD,3,712,712,742,0.0041134150633772935,0.0023690345029471695,0.007791078339892395,0.005854790327308962,0.005767673664124546,0.00465720742698268
ETH-USD,4,742,742,772,0.0037319071193750056,0.0027894314118756475,0.01345702870723545,0.012481167059806375,0.0048871929963837605,0.004181033119731853
ETH-USD,5,772,772,802,0.006328182215806263,0.003869922562553658,0.009920243503047311,0.007059145398704988,0.008508140529756182,0.005847237576819414
ETH-USD,6,802,802,832,0.006715462864189667,0.004181302043930132,0.014101157278104993,0.011398826344526823,0.011448480083565348,0.008557369043394896
ETH-USD,7,832,832,862,0.004351559131115959,0.002507310214052392,0.014730537781884474,0.01351891362149547,0.007064552254502633,0.005727912145740273
ETH-USD,8,862,862,892,0.011654588085263531,0.004899465518785445,0.02240640625867941,0.01973920668574632,0.014724201174160248,0.009613715473396352
ETH-USD,9,892,892,922,0.0053653875264034956,0.0034220859789756606,0.010821022202842926,0.009420187032036642,0.00650807400817047,0.005044531756979808
ETH-USD,10,922,922,952,0.00996333512167579,0.005338909897098563,0.02010508547489036,0.013408138474592159,0.010982955078948546,0.007496368788221368
ETH-USD,11,952,952,982,0.00620817436885045,0.004267079347473941,0.013852347764700157,0.011078694895188416,0.007976902311697296,0.006446635937065737
ETH-USD,12,982,982,1012,0.004140181197914045,0.0026879705860111043,0.011565605848772817,0.010443005103833804,0.006032844410783078,0.004591288246060505
ETH-USD,13,1012,1012,1042,0.007424840881256227,0.0043025800236569855,0.009155307433014981,0.0078064626935049584,0.008319273875319586,0.005394150741015059
ETH-USD,14,1042,1042,1072,0.004908694377268882,0.003034184836572414,0.006156324301830856,0.004921949250228218,0.007211466421215588,0.005178681462286563
